路不拾遗 ['l', 'b', 'sh', 'y'] ['u', 'u', 'i', 'i'] ['4', '4', '2', '2'] 
苦口婆心 ['k', 'k', 'p', 'x'] ['u', 'ou', 'o', 'in'] ['3', '3', '2', '1'] 
独树一帜 ['d', 'sh', 'y', 'zh'] ['u', 'u', 'i', 'i'] ['2', '4', '1', '4'] 
走马观花 ['z', 'm', 'g', 'h'] ['ou', 'a', 'uan', 'ua'] ['3', '3', '1', '1'] 
燃眉之急 ['r', 'm', 'zh', 'j'] ['an', 'ei', 'i', 'i'] ['2', '2', '1', '2'] 
不翼而飞 ['b', 'y', None, 'f'] ['u', 'i', 'er', 'ei'] ['4', '4', '2', '1'] 
不言而喻 ['b', 'y', None, 'y'] ['u', 'an', 'er', 'v'] ['4', '2', '2', '4']
花前月下 ['h', 'q', 'y', 'x'] ['ua', 'ian', 've', 'ia'] ['1', '2', '4', '4']
春风化雨 ['ch', 'f', 'h', 'y'] ['un', 'eng', 'ua', 'v'] ['1', '1', '4', '3']
高深莫测 ['g', 'sh', 'm', 'c'] ['ao', 'en', 'o', 'e'] ['1', '1', '4', '4'] 
铁石心肠 ['t', 'sh', 'x', 'ch'] ['ie', 'i', 'in', 'ang'] ['3', '2', '1', '2'] 
飞蛾扑火 ['f', None, 'p', 'h'] ['ei', 'e', 'u', 'uo'] ['1', '2', '1', '3'] 
鬼斧神工 ['g', 'f', 'sh', 'g'] ['ui', 'u', 'en', 'ong'] ['3', '3', '2', '1'] 
无中生有 ['w', 'zh', 'sh', 'y'] ['u', 'ong', 'eng', 'ou'] ['2', '1', '1', '3'] 
风调雨顺 ['f', 't', 'y', 'sh'] ['eng', 'iao', 'v', 'un'] ['1', '2', '3', '4']
坐吃山空 ['z', 'ch', 'sh', 'k'] ['uo', 'i', 'an', 'ong'] ['4', '1', '1', '1'] 
愤世嫉俗 ['f', 'sh', 'j', 's'] ['en', 'i', 'i', 'u'] ['4', '4', '2', '2'] 
破釜沉舟 ['p', 'f', 'ch', 'zh'] ['o', 'u', 'en', 'ou'] ['4', '3', '2', '1'] 
急转直下 ['j', 'zh', 'zh', 'x'] ['i', 'uan', 'i', 'ia'] ['2', '3', '2', '4'] 
独具匠心 ['d', 'j', 'j', 'x'] ['u', 'v', 'iang', 'in'] ['2', '4', '4', '1']
不耻下问 ['b', 'ch', 'x', 'w'] ['u', 'i', 'ia', 'en'] ['4', '3', '4', '4'] 
声名鹊起 ['sh', 'm', 'q', 'q'] ['eng', 'ing', 've', 'i'] ['1', '2', '4', '3']
适得其反 ['sh', 'd', 'q', 'f'] ['i', 'e', 'i', 'an'] ['4', '2', '2', '3'] 
精益求精 ['j', 'y', 'q', 'j'] ['ing', 'i', 'iu', 'ing'] ['1', '4', '2', '1'] 
无往不利 ['w', 'w', 'b', 'l'] ['u', 'ang', 'u', 'i'] ['2', '3', '4', '4'] 
百口莫辩 ['b', 'k', 'm', 'b'] ['ai', 'ou', 'o', 'ian'] ['3', '3', '4', '4'] 
与世无争 ['y', 'sh', 'w', 'zh'] ['v', 'i', 'u', 'eng'] ['2', '4', '2', '1']
返老还童 ['f', 'l', 'h', 't'] ['an', 'ao', 'uan', 'ong'] ['3', '3', '2', '2'] 
火上浇油 ['h', 'sh', 'j', 'y'] ['uo', 'ang', 'iao', 'ou'] ['3', '4', '1', '2'] 
志在千里 ['zh', 'z', 'q', 'l'] ['i', 'ai', 'ian', 'i'] ['4', '4', '1', '3'] 
闲情逸致 ['x', 'q', 'y', 'zh'] ['ian', 'ing', 'i', 'i'] ['2', '2', '4', '4'] 
敬而远之 ['j', None, 'y', 'zh'] ['ing', 'er', 'van', 'i'] ['4', '2', '3', '1']
众目睽睽 ['zh', 'm', 'k', 'k'] ['ong', 'u', 'ui', 'ui'] ['4', '4', '2', '2'] 
蝇头小利 ['y', 't', 'x', 'l'] ['ing', 'ou', 'iao', 'i'] ['2', '2', '3', '4'] 
义结金兰 ['y', 'j', 'j', 'l'] ['i', 'ie', 'in', 'an'] ['4', '2', '1', '2'] 
猴年马月 ['h', 'n', 'm', 'y'] ['ou', 'ian', 'a', 've'] ['2', '2', '3', '4']
排山倒海 ['p', 'sh', 'd', 'h'] ['ai', 'an', 'ao', 'ai'] ['2', '1', '3', '3'] 
拾金不昧 ['sh', 'j', 'b', 'm'] ['i', 'in', 'u', 'ei'] ['2', '1', '4', '4'] 
喜出望外 ['x', 'ch', 'w', 'w'] ['i', 'u', 'ang', 'ai'] ['3', '1', '4', '4'] 
鸡犬不宁 ['j', 'q', 'b', 'n'] ['i', 'van', 'u', 'ing'] ['1', '3', '4', '2']
身临其境 ['sh', 'l', 'q', 'j'] ['en', 'in', 'i', 'ing'] ['1', '2', '2', '4'] 
同归于尽 ['t', 'g', 'y', 'j'] ['ong', 'ui', 'v', 'in'] ['2', '1', '2', '4']
杯水车薪 ['b', 'sh', 'ch', 'x'] ['ei', 'ui', 'e', 'in'] ['1', '3', '1', '1'] 
日新月异 ['r', 'x', 'y', 'y'] ['i', 'in', 've', 'i'] ['4', '1', '4', '4']
未雨绸缪 ['w', 'y', 'ch', 'm'] ['ei', 'v', 'ou', 'ou'] ['4', '3', '2', '2']
居安思危 ['j', None, 's', 'w'] ['v', 'an', 'i', 'ei'] ['1', '1', '1', '1']
百里挑一 ['b', 'l', 't', 'y'] ['ai', 'i', 'iao', 'i'] ['3', '3', '1', '1'] 
昙花一现 ['t', 'h', 'y', 'x'] ['an', 'ua', 'i', 'ian'] ['2', '1', '1', '4'] 
雪中送炭 ['x', 'zh', 's', 't'] ['ve', 'ong', 'ong', 'an'] ['3', '1', '4', '4']
成王败寇 ['ch', 'w', 'b', 'k'] ['eng', 'ang', 'ai', 'ou'] ['2', '2', '4', '4'] 
戴罪立功 ['d', 'z', 'l', 'g'] ['ai', 'ui', 'i', 'ong'] ['4', '4', '4', '1'] 
天马行空 ['t', 'm', 'x', 'k'] ['ian', 'a', 'ing', 'ong'] ['1', '3', '2', '1'] 
釜底抽薪 ['f', 'd', 'ch', 'x'] ['u', 'i', 'ou', 'in'] ['3', '3', '1', '1'] 
既往不咎 ['j', 'w', 'b', 'j'] ['i', 'ang', 'u', 'iu'] ['4', '3', '4', '4'] 
花容月貌 ['h', 'r', 'y', 'm'] ['ua', 'ong', 've', 'ao'] ['1', '2', '4', '4']
按部就班 [None, 'b', 'j', 'b'] ['an', 'u', 'iu', 'an'] ['4', '4', '4', '1'] 
闭门造车 ['b', 'm', 'z', 'ch'] ['i', 'en', 'ao', 'e'] ['4', '2', '4', '1'] 
囫囵吞枣 ['h', 'l', 't', 'z'] ['u', 'un', 'un', 'ao'] ['2', '2', '1', '3'] 
鲜为人知 ['x', 'w', 'r', 'zh'] ['ian', 'ei', 'en', 'i'] ['3', '2', '2', '1'] 
颠三倒四 ['d', 's', 'd', 's'] ['ian', 'an', 'ao', 'i'] ['1', '1', '3', '4'] 
惊弓之鸟 ['j', 'g', 'zh', 'n'] ['ing', 'ong', 'i', 'iao'] ['1', '1', '1', '3'] 
纸上谈兵 ['zh', 'sh', 't', 'b'] ['i', 'ang', 'an', 'ing'] ['3', '4', '2', '1'] 
今非昔比 ['j', 'f', 'x', 'b'] ['in', 'ei', 'i', 'i'] ['1', '1', '1', '3'] 
琳琅满目 ['l', 'l', 'm', 'm'] ['in', 'ang', 'an', 'u'] ['2', '2', '3', '4'] 
百家争鸣 ['b', 'j', 'zh', 'm'] ['ai', 'ia', 'eng', 'ing'] ['3', '1', '1', '2'] 
殊途同归 ['sh', 't', 't', 'g'] ['u', 'u', 'ong', 'ui'] ['1', '2', '2', '1'] 
玉石俱焚 ['y', 'sh', 'j', 'f'] ['v', 'i', 'v', 'en'] ['4', '2', '4', '2']
不寒而栗 ['b', 'h', None, 'l'] ['u', 'an', 'er', 'i'] ['4', '2', '2', '4'] 
矢志不渝 ['sh', 'zh', 'b', 'y'] ['i', 'i', 'u', 'v'] ['3', '4', '4', '2']
若无其事 ['r', 'w', 'q', 'sh'] ['uo', 'u', 'i', 'i'] ['4', '2', '2', '4'] 
普天同庆 ['p', 't', 't', 'q'] ['u', 'ian', 'ong', 'ing'] ['3', '1', '2', '4'] 
见仁见智 ['j', 'r', 'j', 'zh'] ['ian', 'en', 'ian', 'i'] ['4', '2', '4', '4'] 
举一反三 ['j', 'y', 'f', 's'] ['v', 'i', 'an', 'an'] ['3', '1', '3', '1']
神出鬼没 ['sh', 'ch', 'g', 'm'] ['en', 'u', 'ui', 'o'] ['2', '1', '3', '4'] 
如履薄冰 ['r', 'l', 'b', 'b'] ['u', 'v', 'o', 'ing'] ['2', '3', '2', '1'] 
口耳相传 ['k', None, 'x', 'ch'] ['ou', 'er', 'iang', 'uan'] ['3', '3', '1', '2'] 
光阴似箭 ['g', 'y', 's', 'j'] ['uang', 'in', 'i', 'ian'] ['1', '1', '4', '4'] 
飞来横祸 ['f', 'l', 'h', 'h'] ['ei', 'ai', 'eng', 'uo'] ['1', '2', '4', '4'] 
雾里看花 ['w', 'l', 'k', 'h'] ['u', 'i', 'an', 'ua'] ['4', '3', '4', '1'] 
否极泰来 ['p', 'j', 't', 'l'] ['i', 'i', 'ai', 'ai'] ['3', '2', '4', '2'] 
鼠目寸光 ['sh', 'm', 'c', 'g'] ['u', 'u', 'un', 'uang'] ['3', '4', '4', '1'] 
风起云涌 ['f', 'q', 'y', 'y'] ['eng', 'i', 'vn', 'ong'] ['1', '3', '2', '3']
飞檐走壁 ['f', 'y', 'z', 'b'] ['ei', 'an', 'ou', 'i'] ['1', '2', '3', '4'] 
掩耳盗铃 ['y', None, 'd', 'l'] ['an', 'er', 'ao', 'ing'] ['3', '3', '4', '2'] 
半信半疑 ['b', 'x', 'b', 'y'] ['an', 'in', 'an', 'i'] ['4', '4', '4', '2'] 
乐不思蜀 ['l', 'b', 's', 'sh'] ['e', 'u', 'i', 'u'] ['4', '4', '1', '3'] 
杯弓蛇影 ['b', 'g', 'sh', 'y'] ['ei', 'ong', 'e', 'ing'] ['1', '1', '2', '3'] 
痴人说梦 ['ch', 'r', 'sh', 'm'] ['i', 'en', 'uo', 'eng'] ['1', '2', '1', '4'] 
水性杨花 ['sh', 'x', 'y', 'h'] ['ui', 'ing', 'ang', 'ua'] ['3', '4', '2', '1'] 
塞翁失马 ['s', 'w', 'sh', 'm'] ['ai', 'eng', 'i', 'a'] ['4', '1', '1', '3'] 
背井离乡 ['b', 'j', 'l', 'x'] ['ei', 'ing', 'i', 'iang'] ['4', '3', '2', '1'] 
阴差阳错 ['y', 'ch', 'y', 'c'] ['in', 'a', 'ang', 'uo'] ['1', '1', '2', '4'] 
鸡飞蛋打 ['j', 'f', 'd', 'd'] ['i', 'ei', 'an', 'a'] ['1', '1', '4', '3'] 
入土为安 ['r', 't', 'w', None] ['u', 'u', 'ei', 'an'] ['4', '2', '2', '1'] 
信口雌黄 ['x', 'k', 'c', 'h'] ['in', 'ou', 'i', 'uang'] ['4', '3', '2', '2'] 
捉襟见肘 ['zh', 'j', 'j', 'zh'] ['uo', 'in', 'ian', 'ou'] ['1', '1', '4', '3'] 
过河拆桥 ['g', 'h', 'ch', 'q'] ['uo', 'e', 'ai', 'iao'] ['4', '2', '1', '2'] 
中流砥柱 ['zh', 'l', 'd', 'zh'] ['ong', 'iu', 'i', 'u'] ['1', '2', '3', '4'] 
民不聊生 ['m', 'b', 'l', 'sh'] ['in', 'u', 'iao', 'eng'] ['2', '4', '2', '1'] 
穷困潦倒 ['q', 'k', 'l', 'd'] ['iong', 'un', 'iao', 'ao'] ['2', '4', '2', '3'] 
前功尽弃 ['q', 'g', 'j', 'q'] ['ian', 'ong', 'in', 'i'] ['2', '1', '4', '4'] 
上蹿下跳 ['sh', 'c', 'x', 't'] ['ang', 'uan', 'ia', 'iao'] ['4', '1', '4', '4'] 
心不在焉 ['x', 'b', 'z', 'y'] ['in', 'u', 'ai', 'an'] ['1', '4', '4', '1'] 
德高望重 ['d', 'g', 'w', 'zh'] ['e', 'ao', 'ang', 'ong'] ['2', '1', '4', '4'] 
难兄难弟 ['n', 'x', 'n', 'd'] ['an', 'iong', 'an', 'i'] ['4', '1', '4', '4'] 
败兴而归 ['b', 'x', None, 'g'] ['ai', 'ing', 'er', 'ui'] ['4', '4', '2', '1'] 
举手之劳 ['j', 'sh', 'zh', 'l'] ['v', 'ou', 'i', 'ao'] ['3', '3', '1', '2']
和蔼可亲 ['h', None, 'k', 'q'] ['e', 'ai', 'e', 'in'] ['2', '3', '3', '1'] 
鳏寡孤独 ['g', 'g', 'g', 'd'] ['uan', 'ua', 'u', 'u'] ['1', '3', '1', '2'] 
金蝉脱壳 ['j', 'ch', 't', 'q'] ['in', 'an', 'uo', 'iao'] ['1', '2', '1', '4'] 
做贼心虚 ['z', 'z', 'x', 'x'] ['uo', 'ei', 'in', 'v'] ['4', '2', '1', '1']
南辕北辙 ['n', 'y', 'b', 'zh'] ['an', 'van', 'ei', 'e'] ['2', '2', '3', '2']
大张旗鼓 ['d', 'zh', 'q', 'g'] ['a', 'ang', 'i', 'u'] ['4', '1', '2', '3'] 
洛阳纸贵 ['l', 'y', 'zh', 'g'] ['uo', 'ang', 'i', 'ui'] ['4', '2', '3', '4'] 
若隐若现 ['r', 'y', 'r', 'x'] ['uo', 'in', 'uo', 'ian'] ['4', '3', '4', '4'] 
家喻户晓 ['j', 'y', 'h', 'x'] ['ia', 'v', 'u', 'iao'] ['1', '4', '4', '3']
花拳绣腿 ['h', 'q', 'x', 't'] ['ua', 'van', 'iu', 'ui'] ['1', '2', '4', '3']
腰缠万贯 ['y', 'ch', 'w', 'g'] ['ao', 'an', 'an', 'uan'] ['1', '2', '4', '4'] 
缘木求鱼 ['y', 'm', 'q', 'y'] ['van', 'u', 'iu', 'v'] ['2', '4', '2', '2']
日理万机 ['r', 'l', 'w', 'j'] ['i', 'i', 'an', 'i'] ['4', '3', '4', '1'] 
白雪皑皑 ['b', 'x', None, None] ['ai', 've', 'ai', 'ai'] ['2', '3', '2', '2']
拖泥带水 ['t', 'n', 'd', 'sh'] ['uo', 'i', 'ai', 'ui'] ['1', '2', '4', '3'] 
博大精深 ['b', 'd', 'j', 'sh'] ['o', 'a', 'ing', 'en'] ['2', '4', '1', '1'] 
逢凶化吉 ['f', 'x', 'h', 'j'] ['eng', 'iong', 'ua', 'i'] ['2', '1', '4', '2'] 
欲盖弥彰 ['y', 'g', 'm', 'zh'] ['v', 'ai', 'i', 'ang'] ['4', '4', '2', '1']
循规蹈矩 ['x', 'g', 'd', 'j'] ['vn', 'ui', 'ao', 'v'] ['2', '1', '3', '3']
笨鸟先飞 ['b', 'n', 'x', 'f'] ['en', 'iao', 'ian', 'ei'] ['4', '3', '1', '1'] 
玩世不恭 ['w', 'sh', 'b', 'g'] ['an', 'i', 'u', 'ong'] ['2', '4', '4', '1'] 
一蹶不振 ['y', 'j', 'b', 'zh'] ['i', 've', 'u', 'en'] ['1', '2', '4', '4']
心宽体胖 ['x', 'k', 't', 'p'] ['in', 'uan', 'i', 'an'] ['1', '1', '3', '2'] 
吉光片羽 ['j', 'g', 'p', 'y'] ['i', 'uang', 'ian', 'v'] ['2', '1', '4', '3']
泰然自若 ['t', 'r', 'z', 'r'] ['ai', 'an', 'i', 'uo'] ['4', '2', '4', '4'] 
酣畅淋漓 ['h', 'ch', 'l', 'l'] ['an', 'ang', 'in', 'i'] ['1', '4', '2', '2'] 
头晕目眩 ['t', 'y', 'm', 'x'] ['ou', 'vn', 'u', 'van'] ['2', '1', '4', '4']
左邻右舍 ['z', 'l', 'y', 'sh'] ['uo', 'in', 'ou', 'e'] ['3', '2', '4', '4'] 
集思广益 ['j', 's', 'g', 'y'] ['i', 'i', 'uang', 'i'] ['2', '1', '3', '4'] 
水涨船高 ['sh', 'zh', 'ch', 'g'] ['ui', 'ang', 'uan', 'ao'] ['3', '3', '2', '1'] 
藕断丝连 [None, 'd', 's', 'l'] ['ou', 'uan', 'i', 'ian'] ['3', '4', '1', '2'] 
张牙舞爪 ['zh', 'y', 'w', 'zh'] ['ang', 'a', 'u', 'ao'] ['1', '2', '3', '3'] 
暴殄天物 ['b', 't', 't', 'w'] ['ao', 'ian', 'ian', 'u'] ['4', '3', '1', '4'] 
含辛茹苦 ['h', 'x', 'r', 'k'] ['an', 'in', 'u', 'u'] ['2', '1', '2', '3'] 
差强人意 ['ch', 'q', 'r', 'y'] ['a', 'iang', 'en', 'i'] ['1', '2', '2', '4'] 
马不停蹄 ['m', 'b', 't', 't'] ['a', 'u', 'ing', 'i'] ['3', '4', '2', '2'] 
快马加鞭 ['k', 'm', 'j', 'b'] ['uai', 'a', 'ia', 'ian'] ['4', '3', '1', '1'] 
形影不离 ['x', 'y', 'b', 'l'] ['ing', 'ing', 'u', 'i'] ['2', '3', '4', '2'] 
鹏程万里 ['p', 'ch', 'w', 'l'] ['eng', 'eng', 'an', 'i'] ['2', '2', '4', '3'] 
临危不惧 ['l', 'w', 'b', 'j'] ['in', 'ei', 'u', 'v'] ['2', '1', '4', '4']
寂然无声 ['j', 'r', 'w', 'sh'] ['i', 'an', 'u', 'eng'] ['4', '2', '2', '1'] 
忐忑不安 ['t', 't', 'b', None] ['an', 'e', 'u', 'an'] ['3', '4', '4', '1'] 
宁死不屈 ['n', 's', 'b', 'q'] ['ing', 'i', 'u', 'v'] ['4', '3', '4', '1']
前赴后继 ['q', 'f', 'h', 'j'] ['ian', 'u', 'ou', 'i'] ['2', '4', '4', '4'] 
立竿见影 ['l', 'g', 'j', 'y'] ['i', 'an', 'ian', 'ing'] ['4', '1', '4', '3'] 
得天独厚 ['d', 't', 'd', 'h'] ['e', 'ian', 'u', 'ou'] ['2', '1', '2', '4'] 
甘之如饴 ['g', 'zh', 'r', 'y'] ['an', 'i', 'u', 'i'] ['1', '1', '2', '2'] 
大智若愚 ['d', 'zh', 'r', 'y'] ['a', 'i', 'uo', 'v'] ['4', '4', '4', '2']
以卵击石 ['y', 'l', 'j', 'sh'] ['i', 'uan', 'i', 'i'] ['3', '3', '1', '2'] 
四平八稳 ['s', 'p', 'b', 'w'] ['i', 'ing', 'a', 'en'] ['4', '2', '1', '3'] 
一步登天 ['y', 'b', 'd', 't'] ['i', 'u', 'eng', 'ian'] ['1', '4', '1', '1'] 
冰清玉洁 ['b', 'q', 'y', 'j'] ['ing', 'ing', 'v', 'ie'] ['1', '1', '4', '2']
步步为营 ['b', 'b', 'w', 'y'] ['u', 'u', 'ei', 'ing'] ['4', '4', '2', '2'] 
放荡不羁 ['f', 'd', 'b', 'j'] ['ang', 'ang', 'u', 'i'] ['4', '4', '4', '1'] 
称心如意 ['ch', 'x', 'r', 'y'] ['en', 'in', 'u', 'i'] ['4', '1', '2', '4'] 
怒发冲冠 ['n', 'f', 'ch', 'g'] ['u', 'a', 'ong', 'uan'] ['4', '4', '1', '1'] 
满目疮痍 ['m', 'm', 'ch', 'y'] ['an', 'u', 'uang', 'i'] ['3', '4', '1', '2'] 
腥风血雨 ['x', 'f', 'x', 'y'] ['ing', 'eng', 've', 'v'] ['1', '1', '4', '3']
天方夜谭 ['t', 'f', 'y', 't'] ['ian', 'ang', 'e', 'an'] ['1', '1', '4', '2'] 
